Current,Source Measure,Volt Measure,Timestamp
0.0,0.0,0.0116849,2025-03-20 15:16:27
0.0014285714285714286,0.001429,4.90747,2025-03-20 15:16:30
0.002857142857142857,0.002857,8.39641,2025-03-20 15:16:32
0.004285714285714286,0.004286,11.07528,2025-03-20 15:16:35
0.005714285714285714,0.005714,14.2892,2025-03-20 15:16:38
0.007142857142857143,0.007143,17.3744,2025-03-20 15:16:40
0.008571428571428572,0.008571,20.4449,2025-03-20 15:16:43
0.01,0.01,23.5047,2025-03-20 15:16:45
0.011428571428571429,0.01143,26.5451,2025-03-20 15:16:48
0.012857142857142857,0.01286,29.5844,2025-03-20 15:16:50
0.014285714285714285,0.01429,32.5921,2025-03-20 15:16:53
0.015714285714285715,0.01571,35.5617,2025-03-20 15:16:55
0.017142857142857144,0.01714,38.5233,2025-03-20 15:16:58
0.018571428571428572,0.01857,41.4576,2025-03-20 15:17:01
0.02,0.02,44.3657,2025-03-20 15:17:03
