Current,Source Measure,Volt Measure,Timestamp,Temperature
0.0,0.0,-0.177412,2025-03-26 11:21:42,20
0.0022222222222222222,0.002222,99.9745,2025-03-26 11:21:45,20
0.0044444444444444444,0.004444,99.9751,2025-03-26 11:21:47,20
0.006666666666666666,0.006667,99.9754,2025-03-26 11:21:50,20
0.008888888888888889,0.008889,99.976,2025-03-26 11:21:52,20
0.011111111111111112,0.01111,99.9752,2025-03-26 11:21:55,20
0.013333333333333332,0.01333,99.9754,2025-03-26 11:21:57,20
0.015555555555555555,0.01556,99.9754,2025-03-26 11:22:00,20
0.017777777777777778,0.01778,99.9755,2025-03-26 11:22:03,20
0.02,0.02,99.9756,2025-03-26 11:22:05,20
