Current,Source Measure,Volt Measure,Timestamp,Temperature
0.0,0.0,0.147942,2025-04-10 15:14:03,-1.23
0.0022222222222222222,0.002222,1.95308,2025-04-10 15:14:06,-1.23
0.0044444444444444444,0.004444,2.00871,2025-04-10 15:14:08,-1.23
0.006666666666666666,0.006667,2.05212,2025-04-10 15:14:11,-1.23
0.008888888888888889,0.008889,2.09067,2025-04-10 15:14:13,-1.23
0.011111111111111112,0.01111,2.12651,2025-04-10 15:14:16,-1.23
0.013333333333333332,0.01333,2.16065,2025-04-10 15:14:19,-1.23
0.015555555555555555,0.01556,2.19372,2025-04-10 15:14:21,-1.23
0.017777777777777778,0.01778,2.22558,2025-04-10 15:14:24,-1.23
0.02,0.02,2.25671,2025-04-10 15:14:26,-1.23
