Current,Source Measure,Volt Measure,Timestamp,Temperature
0.0,0.0,4.79e-05,2025-03-28 15:07:02,-129.91
0.0022222222222222222,0.002222,2.01735,2025-03-28 15:07:05,-129.91
0.0044444444444444444,0.004444,2.18846,2025-03-28 15:07:07,-129.91
0.006666666666666666,0.006667,2.29025,2025-03-28 15:07:10,-129.91
0.008888888888888889,0.008889,2.38721,2025-03-28 15:07:12,-129.91
0.011111111111111112,0.01111,2.57583,2025-03-28 15:07:15,-129.91
0.013333333333333332,0.01333,2.76389,2025-03-28 15:07:17,-129.91
0.015555555555555555,0.01556,2.86199,2025-03-28 15:07:20,-129.91
0.017777777777777778,0.01778,2.90546,2025-03-28 15:07:23,-129.91
0.02,0.02,2.92496,2025-03-28 15:07:25,-129.91
