Current,Source Measure,Volt Measure,Timestamp
0.0,0.0,-0.37101,2025-03-20 15:27:53
0.0014285714285714286,0.001429,5.30176,2025-03-20 15:27:56
0.002857142857142857,0.002857,8.89175,2025-03-20 15:27:59
0.004285714285714286,0.004286,11.53385,2025-03-20 15:28:01
0.005714285714285714,0.005714,14.948,2025-03-20 15:28:04
0.007142857142857143,0.007143,18.0896,2025-03-20 15:28:06
0.008571428571428572,0.008571,21.2089,2025-03-20 15:28:09
0.01,0.01,24.3073,2025-03-20 15:28:11
0.011428571428571429,0.01143,27.3835,2025-03-20 15:28:14
0.012857142857142857,0.01286,30.4472,2025-03-20 15:28:16
0.014285714285714285,0.01429,33.4622,2025-03-20 15:28:19
0.015714285714285715,0.01571,36.4468,2025-03-20 15:28:22
0.017142857142857144,0.01714,39.4177,2025-03-20 15:28:24
0.018571428571428572,0.01857,42.3537,2025-03-20 15:28:27
0.02,0.02,45.2727,2025-03-20 15:28:29
