Current,Source Measure,Volt Measure,Timestamp
0.0,0.0,0.217157,2025-03-20 15:09:21
0.0014285714285714286,0.001429,11.16881,2025-03-20 15:09:24
0.002857142857142857,0.002857,15.1452,2025-03-20 15:09:27
0.004285714285714286,0.004286,18.0525,2025-03-20 15:09:29
0.005714285714285714,0.005714,20.9279,2025-03-20 15:09:32
0.007142857142857143,0.007143,23.791,2025-03-20 15:09:34
0.008571428571428572,0.008571,26.6793,2025-03-20 15:09:37
0.01,0.01,29.582,2025-03-20 15:09:39
0.011428571428571429,0.01143,32.5237,2025-03-20 15:09:42
0.012857142857142857,0.01286,35.5083,2025-03-20 15:09:44
0.014285714285714285,0.01429,38.4868,2025-03-20 15:09:47
0.015714285714285715,0.01571,41.492,2025-03-20 15:09:50
0.017142857142857144,0.01714,44.53,2025-03-20 15:09:52
0.018571428571428572,0.01857,47.581,2025-03-20 15:09:55
0.02,0.02,50.6419,2025-03-20 15:09:57
