Current,Source Measure,Volt Measure,Timestamp,Temperature
0.0,0.0,-0.0001213,2025-03-28 15:32:01,-24.64
0.0022222222222222222,0.002222,1.79333,2025-03-28 15:32:04,-24.64
0.0044444444444444444,0.004444,1.93066,2025-03-28 15:32:06,-24.64
0.006666666666666666,0.006667,1.98714,2025-03-28 15:32:09,-24.64
0.008888888888888889,0.008889,2.02696,2025-03-28 15:32:11,-24.64
0.011111111111111112,0.01111,2.05822,2025-03-28 15:32:14,-24.64
0.013333333333333332,0.01333,2.08399,2025-03-28 15:32:16,-24.64
0.015555555555555555,0.01556,2.106,2025-03-28 15:32:19,-24.64
0.017777777777777778,0.01778,2.12494,2025-03-28 15:32:21,-24.64
0.02,0.02,2.14156,2025-03-28 15:32:24,-24.64
